context,response,relation,setting
I wouldn't have guessed that. I always thought of the managers as those out of shape guys who yelled at the players. </UTT>Me too. Did you know that baseball is hugely popular in Japan?</UTT>That I did know. They have some great teams over there. I think they were surprised at how popular it is in america as well. </UTT>Yes they are which is so strange to me. Did you hear about the guy who found baseball cards in his grandfather's attic?</UTT>,"I did not know that. I'm not American, but I'm sure I've heard about",isAfter,single
" My mother died two years ago . </UTT> Oh , I am sorry to hear that . Is your father still working ? </UTT> No , he's retired . </UTT> Do you have any family here ? </UTT>","Are you still close with your father and his family ? Is one of them a friend ? I have been thinking of you for so long and want to know how you are doing :(
",isAfter,single
"i am old and been long time so i do not recall but the anger stays</UTT>sorry what are your hobbies</UTT>i collect cars , jaguars specifically . you ?</UTT>i just play music i am a kid</UTT>",Well I like piano as long as its not a big piano ;) You?,isAfter,pair
" You can ask the guests for help . My guests usually insist on doing the washing up . I just have to remind them where everything goes . </UTT> So what kinds of dishes do you usually make ? I know you like Italian food . </UTT> Italian , Indian and chinese . I'Ve only recently started cooking chinese meals and I need some more practice . </UTT> Do you find it hard to get ingredients for Chinese food ? </UTT>","Yes sometimes,  I do like some food but sometimes it just can't be said since it is very available.",isAfter,pair
"great , love the cooler weather it makes me feel energetic</UTT>usually makes me want to curl up and watch movies all day</UTT>not me i want to go hiking or mountain climbing</UTT>do you road trip places ? i have a few ferraris and love going on long drives</UTT>",I'm a big fan of the road trip. I've been to only a few places in the US and Canada.,HasSubEvent,single
"hi i am sally , i live with my sweet dogs in taos , new mexico .</UTT>hi ! i have just been sitting here playing the piano and singing along</UTT>i have wonderful memories of my mother playing and singing to me .</UTT>www . i also like to dance but i cannot do that while i am playing . . lol</UTT>",yes me neither . i am a horrible dancer and can only dance when playing .,HasSubEvent,single
"oh how nice ! i love taking my dog to the beach !</UTT>i bet he loves it !</UTT>he definitely does ! do you have any hobbies ?</UTT>yes , coach cheerleading . i used to be one in high school</UTT>","Yeah I was a cheerleader too!  That is pretty cool,  I can't do anything but cheer.",HasSubEvent,single
</UTT></UTT>Who do you think is the greatest novelist in the history of English literature ? </UTT> Charles Dickens.Actually no one can parallel him in writing . </UTT>,You don't have to be a writer in order to parallel the greats of his writing . ,HasSubEvent,pair
"Honey , I need to have a talk with you . </UTT> Dad , I have to do my homework . </UTT> No , honey , why didn't you go to cram school last night ? </UTT> Dad , I don't want to talk about it now . </UTT>"," Honey , if you don't want to go to cram school , you should tell me the reason why . ",HasSubEvent,pair
What kind of personality do you think you have ? </UTT> I'm quite active and energetic . I approach things enthusiastically and I don't like to leave things half-done . </UTT> Do you think you are introverted or extroverted ? </UTT> I'm quite outgoing i think . I enjoy mixing and doing things with others . </UTT>,I see you are quite outgoing as well . I think your social skills are more on the extroverted spectrum .,xNeed,single
" Why ? What happened ? </UTT> Well , his son had an accident and Bill doesn't have health insurance . This really got me thinking , and I wondered if we shouldn't look into a couple of different HMO's . </UTT> Yeah , you're right . We aren't getting any younger and our kids are getting older . </UTT> Exactly ! I searched on the web and found a couple of HMO's with low co-pays and good coverage . The deductibles are low , too . </UTT>",Yeah it seems like a good deal for you.  Yeah me too.,xNeed,single
"relaxing mostly . do you have any hobbies ?</UTT>i enjoy crocheting , how about you ?</UTT>truth be told , i love just looking up at the clouds .</UTT>that can be enjoyable . where are you from ?</UTT>","i'm from the southeast . i love looking at clouds , but i can only do it for like 15 minutes",xNeed,single
"hi i am sally , i live with my sweet dogs in taos , new mexico .</UTT>hi ! i have just been sitting here playing the piano and singing along</UTT>i have wonderful memories of my mother playing and singing to me .</UTT>www . i also like to dance but i cannot do that while i am playing . . lol</UTT>",maybe you will have to record your playing when dancing to it .,xNeed,pair
I love tom cruise and his movies. It was awesome. mission impossible movie was so great.</UTT>Yep I like Mission Impossible II. I also like The Color of Money in the movie Cocktail. Eyes Wide Shut was pretty weird though haha</UTT>tom cruise edge of tomorrow movie was awesome. edge of tomorrow directer has a great mind.</UTT>It's crazy that Tom Cruise spent two years learning Japanese and how to use a samurai sword to prepare for the movie The Last Samurai. Personally I didn't really like that movie what did you think</UTT>,Tom cruise was great actor and hard worker. He spend a lot of to learn a japanese language.,xNeed,pair
Have you ever had a seizure? I can't believe that someone had a seizure at Ken Jeong's comedy show!</UTT>I have never had one but i have seen people have them and yeah he thought it was a heckler thats pretty insane</UTT>I know! Crazy! I would have probably though the same. They said he ran right over to the person! </UTT>Yeah he was an internal medicine practitioner before he turned to comedy so he attended to the woman until medics arrived</UTT>,Ohhh I see . I thought he was in the audience when he was having the seizure .,xAttr,single
"</UTT>Hello , I want to apply for the position of an usher in your restaurant . </UTT> Welcome . One of your duties is to know the number of the customer and accept reservation . </UTT> What else do I need to do ? </UTT>","You need to watch the Simpsons, I do watch the simpsons I watch that show on netflix too.",xAttr,single
"</UTT></UTT></UTT>I would like to take this opportunity to welcome Monica to our company and introduce her to her department and colleagues . For all of you , we hired Monica because she is a very professional accountant and we are very happy to have her in the finance department . She has lots of working experiences as an accountant and I am sure everybody in the department can benefit from this . </UTT>","If I was a billionaire , I'd give the money to all the people who've had to deal with Monica .",xAttr,single
"Yeah, sadly mostly human activities are to blame for that, including massive deforestation for many reasons. </UTT>Planet is a term that has been used since ancient times in the context of history, astrology, science, mythology and religion. There are five planets visible to naked eyes in the solar system.</UTT>Yep, I've seen all of the naked eye planets. Have you?</UTT>Yes, Venus rises before the sun, so early that it is called the morning star.</UTT>","I have seen the morning star, but I have never seen the sun.",xAttr,pair
"she has some free time , more than my dad , he works at a mill .</UTT>oh yes that makes sense . what do you do for fun ?</UTT>i go to the mall with my friends , i have loads , its fun . how about you ?</UTT>i like fast paced stuff . driving race cars . . . i want to go sky diving .</UTT>","i like the fast pacing stuff but I hate the idea of doing it . Skydiving sound fun , are you gonna be a pilot ?",xAttr,pair
